"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","price_vol","avg_vol","pe_z","pe_ratio_ttm","pbr_z","price_book_mrq","market_cap_millions","shares_market_cap","shares_outstanding_millions","return_on_equity_ttm_percent","der_z","total_debt_equity_mrq","profit_margin_percent","operating_margin_ttm_percent","enterprise_value_ebitda","qgyoy_adjusted","qrgyoy_z","qrgyoy","quarterly_revenue_growth_yoy_percent"
"1","AIV.AX","ActivEX Limited","ActivEX Limited is a mineral exploration company. The Company holds mineral exploration tenements in Queensland and Western Australia. The Company's focus is on exploration for gold and copper projects across its Queensland tenements. Its Gilberton Gold Project is located in the Georgetown Province in northeast Queensland, approximately 300 kilometers west-northwest of Townville. Its Ravenswood Gold Project is located in the Charters Towers Province in northeast Queensland, approximately 60 kilometers south of Charters Towers. Its Esk Copper and Gold Project consists of five exploration permits (EPM 14476, 14979, 16327, 18717 and part 16265) located approximately 100 kilometers west of Gympie in South East Queensland. Its Barambah Gold Project consists of three exploration permits (EPM 14937, 18732 and part 16265) located approximately 100 kilometers west of Gympie in South East Queensland. Its Cloncurry Copper and Gold Project consists of over 13 exploration permits.",2021-02-12,0.17,0.18,0.08,0.14,-5.56,0.71,3964,-0.19,0,-0.07,4.59,30.11,0.17,177.13,-20.83,0.29,42.26,0,-2914039.06,-53.4,0,-1.07,1,0
"2","ADT.AX","Adriatic Metals",NA,2021-02-12,2.34,2.86,0.78,2.25,39.94,0.92,231180,-0.19,0,3.2,36.25,501.19,1.3,385.53,-40.06,-0.26,1.27,0,0,0,0,-1.07,1,0
"3","AML.AX","Aeon Metals","Aeon Metals Limited is engaged in prospect and tenement exploration for a range of minerals. The Company is engaged in the exploration and development of the Walford Creek base metal project and exploration for base and precious metals mineralization in Northwest Queensland. Its mineral assets include Walford Creek copper-lead-zinc-cobalt project; Greater Whitewash Polymetallic project (Greater Whitewash), Ben Hur Copper project (Ben Hur) and 7B Copper/Gold project (7B); Forsayth project; approximately six permits of the Isa North base metals exploration permit for minerals (EPMs) and over four mineral development licenses (MDLs); approximately three permits of the Isa West base metals-phosphate EPMs; approximately 10 permits of the Isa South copper-gold EPMs, and approximately four permits of the Constance Range base metals EPMs. It also has a tenement package in Southeast Queensland with a focus on copper, which consists of Ben Hur, 7B and Greater Whitewash projects.",2021-02-12,0.12,0.22,0.05,0.13,-7.69,1.31,507841,-0.19,0,-0.42,1.13,71.14,0.1,677.57,-8.24,0.13,30.21,0,0,-39.7,0,-1.07,1,0
"4","A1G.AX","African Gold Limited","African Gold Ltd is an Australia-based mineral exploration company. The Company is focused on the identification, development and acquisition of mineral exploration properties in Africa. The Company holds interest in the West and South Mali Gold Projects. The Company’s project includes Cote d’Ivoire and the Agboville Project. It holds 100% interest of 1400 square kilometer (km2) AgbovilleGold Project through its wholly owned subsidiary Golden Ivoire SARL. The Republic of Cote d'Ivoire is located in West Africa, and also has potential for nickel, cobalt, copper, lithium, tantalum, niobium and beryllium deposits.",2021-02-12,0.23,0.28,0.04,0.18,51.72,1.33,249806,-0.19,0,-0.3,2.33,15.76,0.2,78.78,-17.16,-0.27,0,0,0,-12.79,0,-1.07,1,0
"5","AMN.AX","Agrimin Limited","Agrimin Limited is an Australia-based company, which is engaged in the exploration and development of its Mackay Sulphate of Potash (SOP) Project located in Western Australia. The Company's Mackay SOP Project comprises approximately seven exploration licenses and covers an area of over 2,560 square kilometers across Lake Mackay. The Project is located in Western Australia, north of the Tropic of Capricorn and is approximately 540 kilometers northwest of Alice Springs, Northern Territory. The project has indicated mineral resources of approximately 4.3 million tons and inferred mineral resources of approximately 18.9 million tons of SOP (based on specific yield) at a Potassium concentration of approximately 3,603 milligrams per liter of brine.",2021-02-12,0.52,0.68,0.16,0.53,24.42,0.98,71652,-0.19,0,-0.23,2.97,117.15,0.55,211.09,-6,-0.27,0.59,0,-847.12,-54.73,919.7,1.56,144,919.7
"6","ARN.AX","Aldoro Resources Limited","Aldoro Resources Ltd is a Mineral exploration company. The Company is established for a primary purpose of acquiring exploration interests in Western Australian tenements, and exploring and developing The Ryan’s Find, Kalgarin, Cathedrals, Leinster, Penny South Gold, Narndee Project Area, Windimurra Igneous Complex and other mineral exploration projects. The Ryan’s Find Project comprises of low grade nickel-in-laterite and nickel sulphide mineralization activities and is located 400kilometers (KM) eastnortheast of Perth, between the towns of Coolgardie and Southern Cross. The Leinster Project is prospective for nickel sulphide mineralization and is located 280 km north-northwest of Kalgoorlie and 90km northwest of the town of Leonora in the Goldfields Region of Western Australia. The Karlgarin Project comprises of Ni-Co mineralization in the Central Wheatbelt. The Cathedrals Project targets only Ni-Cu-Co mineralization activities",2021-02-12,0.3,0.34,0.06,0.14,26.67,2,747916,-0.19,0,-0.29,2.43,21.8,0.27,80.76,-34.58,-0.27,0,0,0,-21.61,0,-1.07,1,0
"7","ALK.AX","Alkane Resources Limited","Alkane Resources Limited is an Australia-based multi-mine gold producing company. The Company’s projects include Tomingley Gold Project and Northern Molong Porphyry Project (NMPP). The Tomingley Gold Project covers an area of approximately 440 square kilometer (km), stretching 60km north-south along the Newell Highway in central-western New South Wales. The Northern Molong Porphyry Project (NMPP) covers an area of approximately 115 square km, centered approximately 20km north of Wellington and about 35km east of Dubbo in central western New South Wales. The Company’s exploration projects are located in central western New South Wales, which includes gold, gold-copper and other metal (nickel, zinc and silver) prospects. The Company’s gold production is from the Tomingley Gold Operations in Central West New South Wales. Its exploration projects are in the tenement area between Tomingley and Peak Hill.",2021-02-12,0.78,1.54,0.47,1.1,-16.76,0.97,2099718,1.21,33.91,-0.37,1.69,464.4,0.78,595.39,5.55,-0.24,2.47,17.59,27.06,14.47,0,-1.07,1,0
"8","AMC.AX","Amcor","Amcor plc is a packaging company. The Company’s segments include Flexibles and Rigid Plastics. The Company offers a range of packaging related products and services, including packaging for beverages, food, healthcare, and personal and home care, tobacco and industrial applications. The Flexibles consists of operations that manufacture flexible and film packaging in the food and beverage, medical and pharmaceutical, fresh produce, snack food, personal care and other industries. The Rigid Plastics consists of operations that manufacture rigid plastic containers for a range of predominantly beverage and food products, including carbonated soft drinks, water, juices, sports drinks, milk-based beverages, spirits and beer, sauces, dressings, spreads and personal care item and plastic caps for a variety of applications.",2021-02-12,14.54,16.5,9.87,15.25,-4.63,0.43,2447945,1.04,29.8,-0.05,4.77,23138,14.83,1560,15.26,1.62,143.09,6.23,10.89,14.98,2,-0.2,48,2
"9","ABR.AX","American Pacific Borates Limited","American Pacific Borates Limited, formerly American Pacific Borate & Lithium Limited, is an Australia-based company. The Company is focused in advancing its fully owned Fort Cady Boron and Lithium Project. Fort Cady is a colemanite deposit with lithium. The Project is located in the eastern part of Mojave Desert of Southern California in the United States, which is approximately 50 kilometers east of Barstow and 27 kilometers east of Newberry Springs in San Bernardino County, California. The Project lies approximately half way between Los Angeles and Las Vegas, Nevada, around 200 kilometers from both cities. The Project is directly adjacent to the Elementis hectorite mine.",2021-02-12,1.94,2.09,0.14,1.08,376.74,1.81,871987,-0.19,0,0.36,8.73,746.45,1.99,375.1,-10.56,-0.27,0,0,-2220.22,-137.23,54.2,0.75,100,54.2
"10","ADN.AX","Andromeda Metals Limited","Andromeda Metals Limited, formerly Adelaide Resources Limited, is an exploration company. The Company is engaged in the exploration for gold, copper and other economic mineral deposits. It has interests in over 20 exploration licenses, covering over 7,970 square kilometers (sq. kms) within South Australia, Queensland, Western Australia and the Northern Territory. Its projects include Drummond, Eyre Peninsula, Moonta, Rover and Lithium. It holds equity in two tenements (EPM 18090 and EPMA 25660) in the Drummond Basin in Queensland, covering over 270 sq. kms. It holds 100% equity in over five tenements covering over 3,640 sq. kms on the northern Eyre Peninsula in South Australia. It owns Moonta Copper Gold Project located near the southern end of the Olympic Copper-Gold Province in South Australia. It holds 100% equity in over two tenements in the Rover Field located southwest of Tennant Creek. Its lithium projects include Davenport Ranges, Coolgardie and South Australian Salt Lakes.",2021-02-12,0.3,0.36,0.02,0.19,620.93,1.79,6384287,-0.19,0,3.96,43.57,656.58,0.31,2150,-38.64,-0.26,1.04,0,-4095.66,-127.96,0,-1.07,1,0
"11","AAR.AX","Anglo Australian Resources NL","Anglo Australian Resources NL is a gold/base metals exploration company with resource interests in Western Australia. Its projects include Feysville gold project, Mandilla gold project, Koongie Park zinc-rich Volcanogenic Massive Sulfide (VMS) base metals project, Koongie Park gold project and Leonora base metals project. The Feysville Project is located approximately 10 kilometers south of the Golden Mile deposit at Kalgoorlie. Its Koongie Park Copper-Zinc Project, with resources defined at Sandiego and Onedin, is located over 20 kilometers southwest of the regional Centre of Halls Creek in the Southern Eastern Kimberley Region of Western Australia. The Mandilla Gold Project, located 70 kilometers south of Kalgoorlie and 20 kilometers southeast of Kambalda, comprises two mining leases covering over 1819.2 hectares. The Leonora base metals project, with an 800-meter long bedrock electromagnetic conductor, lies to the south of and along strike from a producing mineralized VMS corridor.",2021-02-12,0.13,0.23,0.08,0.16,13.04,0.94,478256,-0.19,0,-0.04,4.8,70.68,0.12,589.01,-31.45,-0.26,0.91,0,0,-24,0,-1.07,1,0
"12","AGG.AX","Anglogold Ashanti","AngloGold Ashanti Limited (AngloGold Ashanti) is a gold mining company. The Company's business activities span the spectrum of the mining value chain. Its main product is gold. Its portfolio includes mine in approximately 10 countries. It also produces silver and sulfuric acid as by-products. The Company operates through three segments: Continental Africa, Australia and Americas. It has operations in Continental Africa in locations, including Democratic Republic of the Congo, Ghana, Guinea, Mali and Tanzania. The Australia segment includes the operations in Australia. It consists of Sunrise Dam and Tropicana. The Americas segment includes the operations in Argentina, Brazil and Colombia.",2021-02-12,6,14,4.8,7,2.35,1.31,23342,0.17,8.64,-0.45,0.84,12584,6.05,2080,21.52,0.98,94.65,7.55,24.94,2.69,26.4,0.48,85,26.4
"13","AOP.AX","Apollo Consolidated","Apollo Consolidated Limited is engaged in the mineral exploration in Cote d'Ivoire and Western Australia. The Company operates through two segments: Mineral Exploration-Australia, including the Lake Rebecca project, and Mineral Exploration-Cote d'Ivoire, including the Aspire contract. It holds exploration and mining rights to over three exploration permits totaling over 1,100 square kilometers in the Cote d'Ivoire, through its subsidiary Aspire Minerals Pty Ltd. Its Boundiali permit is located in northern Cote d'Ivoire. Its Korhogo permit lies in a setting on a structural zone hosting several gold prospects. Its Seguela project is located in central west Cote d'Ivoire. Its Louisa Nickel-Copper Project is located in the southeastern part of the King Leopold Mobile Zone. It holds the Rebecca Gold Project located in the southern Laverton Tectonic Zone (LTZ), over 150 kilometers east of Kalgoorlie, Western Australia. The Yindi property covers a greenfield gold target.",2021-02-12,0.34,0.43,0.14,0.33,47.92,0.88,187187,0.58,18.68,-0.22,3.09,102.46,0.35,288.62,-3.24,-0.27,0.27,3593.61,-470.45,0,0,-1.07,1,0
"14","ARU.AX","Arafura Resources","Arafura Resources Limited is a rare earths producer. The Company's principal activities consist of Nolans Project Environmental Impact Statement; mining and associated infrastructure, social and environmental feasibility evaluations, and mineral exploration, definition and development. Its segments include Project evaluation and development segment; Exploration segment, and Corporate segment. The Company's projects include Nolans, Aileron-Reynolds and Jervois. The Company owns 100% interest in the Nolans Project, which is located in Australia's Northern Territory, approximately 135 kilometers north-north-west of Alice Springs. It has a rare earths-phosphate-uranium deposit. The Aileron-Reynolds Project is located on the north-west of Alice Springs, which consists of over seven exploration licenses and covers an area of approximately 2,700 square kilometers. The Jervois JV located on the north-east of Alice Springs has an exploration license covering over 280 square kilometers.",2021-02-12,0.24,0.3,0.05,0.12,261.11,2.08,5270864,-0.19,0,-0.3,2.36,304.16,0.26,1170,-4.13,-0.27,0.33,0,-788.56,-55.92,0,-1.07,1,0
"15","AXE.AX","Archer Materials Limited","Archer Materials Limited, formerly Archer Exploration Limited, is an Australia-based diversified materials technology company. The Company is primarily focused on developing its Advanced Materials and Mineral Exploration businesses. Its Advanced Materials business is focused on three areas: quantum technology, human health and reliable energy. The Company is focused on developing and commercializing electronic devices with the potential for room-temperature quantum computing. It has developed high-value materials for use in energy storage devices, such as lithium-ion batteries and has developed a number of graphitic and graphene materials for potential down-stream battery technology integration. The Company’s Mineral Exploration business is focused on exploring minerals, such as graphite, copper, cobalt, manganese and tungsten. Its operated projects are Eyre Peninsula Graphite Project, The North Broken Hill Project, Albion Downs Nickel Project and Leigh Creek Magnesia Project.",2021-02-12,0.78,0.98,0.12,0.54,294.67,1.59,731213,-0.19,0,0.22,7.34,180.51,0.8,225.64,-13.26,-0.27,0,0,-1188.18,-68.39,92.5,0.96,111,92.5
